I,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,7
I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9
I,0.455,0.355,0.105,0.372,0.138,0.0765,0.135,9
M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
I,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9
I,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6
I,0.46,0.35,0.1,0.471,0.252,0.077,0.123,8
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8
I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7
I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7
I,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7
I,0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,7
I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,9
I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9
M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12
I,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6
I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
F,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12
I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7
I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9
I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13
M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6
I,0.415,0.325,0.11,0.316,0.1385,0.0795,0.0925,8
I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9
I,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095,8
I,0.45,0.335,0.105,0.362,0.1575,0.0795,0.1095,7
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
I,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11
I,0.395,0.29,0.095,0.319,0.138,0.08,0.082,7
I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8
I,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5
I,0.435,0.325,0.11,0.367,0.1595,0.08,0.105,6
I,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,9
I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7
I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7
I,0.43,0.325,0.105,0.309,0.119,0.08,0.098,6
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
F,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11
I,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6
I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,7
I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
M,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12
I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8
I,0.44,0.34,0.105,0.344,0.123,0.081,0.125,8
M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7
F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7
M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10
I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7
M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
I,0.44,0.31,0.115,0.3625,0.134,0.082,0.12,11
F,0.45,0.36,0.11,0.447,0.203,0.082,0.13,12
F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8
I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
I,0.445,0.32,0.12,0.378,0.152,0.0825,0.12,8
M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7
I,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6
I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6
I,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8
I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7
I,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,9
I,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7
M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11
I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8
