M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9
M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,8
F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9
