SYP_ECOLI	0.34	0.51	0.48	0.50	0.44	0.37	0.46	cp
ARAH_ECOLI	0.34	0.49	0.48	0.50	0.58	0.85	0.80	im
LYSP_ECOLI	0.34	0.51	0.48	0.50	0.67	0.90	0.90	im
PSTA_ECOLI	0.34	0.67	0.48	0.50	0.52	0.76	0.79	im
MURF_ECOLI	0.35	0.48	0.48	0.50	0.56	0.40	0.48	cp
PTNA_ECOLI	0.35	0.37	0.48	0.50	0.30	0.34	0.43	cp
SYC_ECOLI	0.35	0.34	0.48	0.50	0.46	0.30	0.27	cp
PTOA_ECOLI	0.35	0.51	0.48	0.50	0.61	0.71	0.74	im
CYPC_ECOLI	0.36	0.39	0.48	0.50	0.48	0.22	0.23	cp
EFTU_ECOLI	0.36	0.54	0.48	0.50	0.41	0.38	0.46	cp
MALZ_ECOLI	0.36	0.41	0.48	0.50	0.48	0.47	0.54	cp
PNP_ECOLI	0.36	0.56	0.48	0.50	0.43	0.45	0.53	cp
TYRB_ECOLI	0.36	0.42	0.48	0.50	0.53	0.32	0.41	cp
PTHB_ECOLI	0.36	0.47	0.48	0.50	0.51	0.69	0.72	im
FTSL_ECOLI	0.36	0.45	0.48	0.50	0.38	0.79	0.17	im
HPRT_ECOLI	0.37	0.52	0.48	0.50	0.42	0.42	0.36	cp
NHAR_ECOLI	0.37	0.50	0.48	0.50	0.42	0.36	0.45	cp
SYT_ECOLI	0.37	0.44	0.48	0.50	0.42	0.39	0.47	cp
PTFB_ECOLI	0.37	0.47	0.48	0.50	0.39	0.76	0.79	im
G3P1_ECOLI	0.38	0.46	0.48	0.50	0.48	0.22	0.29	cp
RHAS_ECOLI	0.38	0.40	0.48	0.50	0.63	0.25	0.35	cp
RIMJ_ECOLI	0.38	0.26	0.48	0.50	0.54	0.16	0.28	cp
SYD_ECOLI	0.38	0.30	0.48	0.50	0.43	0.29	0.39	cp
SYE_ECOLI	0.38	0.44	0.48	0.50	0.43	0.20	0.31	cp
CAFA_ECOLI	0.39	0.32	0.48	0.50	0.46	0.24	0.35	cp
SYW_ECOLI	0.39	0.31	0.48	0.50	0.38	0.34	0.43	cp
PTMA_ECOLI	0.39	0.41	0.48	0.50	0.52	0.72	0.75	im
CRL_ECOLI	0.40	0.45	0.48	0.50	0.38	0.22	0.00	cp
EFG_ECOLI	0.40	0.29	0.48	0.50	0.42	0.35	0.44	cp
GCVA_ECOLI	0.40	0.50	0.48	0.50	0.45	0.39	0.47	cp
LEU3_ECOLI	0.40	0.35	0.48	0.50	0.45	0.33	0.42	cp
PROB_ECOLI	0.40	0.46	0.48	0.50	0.52	0.49	0.56	cp
PTGA_ECOLI	0.40	0.42	0.48	0.50	0.37	0.27	0.27	cp
SYR_ECOLI	0.40	0.46	0.48	0.50	0.42	0.35	0.44	cp
USPA_ECOLI	0.40	0.41	0.48	0.50	0.55	0.22	0.33	cp
CYOD_ECOLI	0.40	0.50	0.48	0.50	0.65	0.82	0.84	im
CHEZ_ECOLI	0.41	0.57	0.48	0.50	0.39	0.21	0.32	cp
PEPE_ECOLI	0.41	0.48	0.48	0.50	0.51	0.44	0.51	cp
PHOB_ECOLI	0.41	0.43	0.48	0.50	0.45	0.31	0.41	cp
PTHA_ECOLI	0.41	0.43	0.48	0.50	0.50	0.24	0.25	cp
SYFA_ECOLI	0.41	0.51	0.48	0.50	0.58	0.20	0.31	cp
PROP_ECOLI	0.41	0.51	0.48	0.50	0.53	0.75	0.78	im
ARAC_ECOLI	0.42	0.40	0.48	0.50	0.56	0.18	0.30	cp
ASG1_ECOLI	0.42	0.24	0.48	0.50	0.57	0.27	0.37	cp
HEM6_ECOLI	0.42	0.35	0.48	0.50	0.58	0.15	0.27	cp
LPLA_ECOLI	0.42	0.38	0.48	0.50	0.54	0.34	0.43	cp
OTC1_ECOLI	0.42	0.30	0.48	0.50	0.48	0.26	0.36	cp
DCP_ECOLI	0.43	0.37	0.48	0.50	0.53	0.35	0.44	cp
DDLA_ECOLI	0.43	0.39	0.48	0.50	0.47	0.31	0.41	cp
GT_ECOLI	0.43	0.40	0.48	0.50	0.39	0.28	0.39	cp
RNE_ECOLI	0.43	0.32	0.48	0.50	0.33	0.45	0.52	cp
AROP_ECOLI	0.43	0.40	0.48	0.50	0.58	0.75	0.78	im
TORA_ECOLI	0.43	0.59	0.48	0.50	0.52	0.49	0.56	pp
CHEW_ECOLI	0.44	0.27	0.48	0.50	0.55	0.52	0.58	cp
GSHR_ECOLI	0.44	0.35	0.48	0.50	0.55	0.55	0.61	cp
LON_ECOLI	0.44	0.34	0.48	0.50	0.30	0.33	0.43	cp
LYSR_ECOLI	0.44	0.56	0.48	0.50	0.50	0.46	0.54	cp
NFRC_ECOLI	0.44	0.51	0.48	0.50	0.47	0.26	0.36	cp
NIRD_ECOLI	0.44	0.42	0.48	0.50	0.42	0.25	0.20	cp
PFLA_ECOLI	0.44	0.28	0.48	0.50	0.43	0.27	0.37	cp
RND_ECOLI	0.44	0.49	0.48	0.50	0.39	0.38	0.40	cp
UVRC_ECOLI	0.44	0.35	0.48	0.50	0.44	0.52	0.59	cp
AAS_ECOLI	0.44	0.52	0.48	0.50	0.43	0.47	0.54	im
KGTP_ECOLI	0.45	0.40	0.48	0.50	0.61	0.74	0.77	im
ATKB_ECOLI	0.46	0.61	0.48	0.50	0.48	0.86	0.87	im
EXBD_ECOLI	0.46	0.59	0.48	0.50	0.36	0.76	0.23	im
IPYR_ECOLI	0.47	0.47	0.48	0.50	0.22	0.16	0.26	cp
METB_ECOLI	0.47	0.29	0.48	0.50	0.51	0.33	0.43	cp
SLYD_ECOLI	0.47	0.28	0.48	0.50	0.56	0.20	0.25	cp
EXBB_ECOLI	0.47	0.55	0.48	0.50	0.58	0.71	0.75	im
GABP_ECOLI	0.47	0.59	0.48	0.50	0.52	0.76	0.79	im
MELB_ECOLI	0.47	0.46	0.48	0.50	0.62	0.74	0.77	imU
OTC2_ECOLI	0.48	0.42	0.48	0.50	0.45	0.25	0.35	cp
DHSC_ECOLI	0.48	0.45	0.48	0.50	0.60	0.78	0.80	im
DPPC_ECOLI	0.48	0.41	0.48	0.50	0.51	0.90	0.88	im
SECE_ECOLI	0.48	0.49	0.48	0.50	0.52	0.77	0.71	im
AAT_ECOLI	0.49	0.29	0.48	0.50	0.56	0.24	0.35	cp
SERC_ECOLI	0.49	0.43	0.48	0.50	0.49	0.30	0.40	cp
GLNP_ECOLI	0.49	0.42	0.48	0.50	0.53	0.79	0.81	im
RHAT_ECOLI	0.49	0.61	1.00	0.50	0.56	0.71	0.74	imU
PT1A_ECOLI	0.50	0.49	0.48	0.50	0.49	0.46	0.53	cp
PTCA_ECOLI	0.50	0.51	0.48	0.50	0.27	0.23	0.34	cp
DSBB_ECOLI	0.50	0.66	0.48	0.50	0.31	0.92	0.92	im
LGT_ECOLI	0.50	0.37	0.48	0.50	0.66	0.64	0.69	im
